name,phone,address,category,place,state
Shreeji Hospital & Trauma Centre,+91-265-2760599,"  National Highway No 8,Opposite Ramakaka Mandir,Chhani, Vadodara-390000",Doctors - Cardiothoracic and Vascular Surgeon     also listed in,mumbai,maharashtra
Shriji Hospital,+91-265-3245504,"  First Floor,Ankur Hospital,Gotri Road,Opp Yash Complex, Vadodara-390007",Hospitals     also listed in,mumbai,maharashtra
Uma Laproscopy Hospital,+91-265-6562312,"  B/7, Gajanan Society, Uma Char Rasta, Waghodia Road, Vadodara-390019",Hospitals     also listed in,mumbai,maharashtra
Anjali Memorial Hospital,+919825008220,"  Biren Apartment,Fatehgunj, Vadodara-390002",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Jay Hospital,+91-265-2645044,"  B-2/11, G I D C Colony, Makarpura , Vadodara-390009",Hospitals,mumbai,maharashtra
Ankur Children Hospital,+91-265-2772508,"  1st Floor,Hare Ram Complex 1st Floor, Chhani Jakat Naka, Chhani, Vadodara-390002",Hospitals     also listed in,mumbai,maharashtra
Krishnashray Hospital & Icu,+91-265-2412600,"  Sanstha Vasahat, Raopura, Vadodara-390001",Hospitals,mumbai,maharashtra
Soni Hospital,+912664242387,"  Dr Mukesh K Soni,Vaghva Road,Pavi-Jetpur,Pavi Jetpur, Bajwa-391155",Hospitals,mumbai,maharashtra
Harshal General& Surgical Hospital,+91-265-2580888,"  1/37, Vraj Venu Complex, Near Swami Narayan Gurukul , Vadodara-390019",Hospitals,mumbai,maharashtra
Citizen Hospital & I C U,+91-265-6589080,"  Ajwa Waghodia Ring Road,Opp Bapod Talav,Nr Dabhol Dashalad Bhavan,New Vip H T Ring Road, Vadodara-390019",Hospitals     also listed in,mumbai,maharashtra
Sanjivani Hospital & Laprascopy Center,+912656538212,"  No 101,Ujjawal Complex,Behind Akota Stadium,Bpl Road,Opposite Of Shrenik Park Society, Vadodara-390020",Hospitals,mumbai,maharashtra
Ankur Children Hospital,+912652510419,"  No 108,Shree Vihar Complex,Opposite Of Mahavir Hall, Vadodara-390019",Hospitals,mumbai,maharashtra
N M Hospital,+91-265-2359523,"  N M Hospital,Productivity Road,Akota,Nr Dodsal Colony, Vadodara-390020",Doctors - Urologists     also listed in,mumbai,maharashtra
Param Hospital,+919825167877,"  Arpan Complex,Opp Dulex Soc Nizampura, Vadodara-390002",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Aayush Orthopedic Hospital & Joint Replacement Center,+91-265-2410185,"  G P O Lane, Kharivav Road, Opp Police Ground, Raopura , Vadodara-390001",Hospitals,mumbai,maharashtra
Aura Cosmetic & Weight Loss Clinic,+919376223672,"  B/22,Nondigram Society,Nr Gayatri Mandir,Vasar Road,Makrpura, Vadodara-390010",Doctors - Obesity Surgery     also listed in,mumbai,maharashtra
Ashutosh Hospital,+912652332727,"  Near Akshar Chowk,Munj Mahuda,Near Dominos Pizza, Vadodara-390020",Hospitals,mumbai,maharashtra
Shree Maruti Surgical & Trauma Hospital,+919825025100,"  1st Floor,Pavandham Apartment,Shitekhan Hanuman Gali,Raopura Main Road, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Shushrut Hospital,+91-265-2495050,"  Atmiya Complex,Opp Mahakali Temple,Vip Road,Kareli Baug,Opp Mahakali Temple, Vadodara-390018",Hospitals     also listed in,mumbai,maharashtra
Gorwa Hospital,+91-265-2280299,"  1st Floor, Amin Chambers, Refinery Road, Gorwa , Vadodara-390016",Hospitals,mumbai,maharashtra
S S G Hospital,+91-265-2422466,"  Anandpura Casualty Dept, Vadodara-390001",Hospitals,mumbai,maharashtra
Tawal Nursing Home,+91-265-2489703,"  39/40,Sahajanand Society,Back To Dhavat Chowk,Hrn Road, Vadodara-390022","Doctors - Ear, Nose and Throat (ENT)     also listed in",mumbai,maharashtra
Bharucha Hospital,+91-265-2392954,"  Anjana Park Complex, Subhanpura Main Road , Vadodara-390023",Hospitals,mumbai,maharashtra
Bhagat Hospital,+91-265-2425939,"  Sanstha Vasahat,Raopura, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Atmiya Hospital,+91-265-2750758,"  Shivshakti Building,1St Floor,Navrang Cinema Road,Near Narmada Apartment,Raopura, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Om Hospital,+919825165045,"  Jaljyot Apartment, New Sama Road, Nizampura, Vadodara-390002",Doctors - Chest Specialists     also listed in,mumbai,maharashtra
Byanal Amin Hospital,+919879546725,"  Gorud Road,Opp Hemabic Chemical, Vadodara-390000",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Kamlesh Parikh,+91-265-2422120,"  Opposite Police Parade Ground, Near Gpo, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Shree Vallabh Arogya Mandir Hospital,+91-265-2636869,"  Veer Avenue, 1 St Floor, Opp Hanumanji Mandir, Manjalpur, Vadodara-390011",Hospitals,mumbai,maharashtra
Angio Care Hospital,+91-265-2353532,"  Vinraj Plaza, Opp Govt Press Kothi, Vadodara-390001",Hospitals,mumbai,maharashtra
Arpan Surgical Hospital,+91-265-2795278,"  127,Arpan Hospital,Arpan Complex,Deluxe Char Rasta,Nizampura,1St Floor,Near Hanuman Temple, Vadodara-390002",Hospitals,mumbai,maharashtra
Ellora Park Hospital Private Limited,+919376232916,"  Sheel Commerical Complex,Ellora Park,Inox Road,Race Course,Near Indraprastha, Vadodara-390007",Hospitals     also listed in,mumbai,maharashtra
Baroda Huminity Centre Charitable Hospital,+91-265-2458004,"  Square Point, Nagarwada, Char Rasta, Vdr, Vadodara-390001",Hospitals,mumbai,maharashtra
Motal Sargical Hospital & Adoskopi Centre,+91-265-2324991,"  13-B,Sangita Apartment,Nandvan,Opp:Akota Stadim, Vadodara-390020",Hospitals     also listed in,mumbai,maharashtra
Shrushtil Hospital,+91-265-2333661,"  Rajvee Complex, Akota Road, Akota Garden Char Rasta, Akota Road, Akota, Vadodara-390020",Hospitals,mumbai,maharashtra
Premdas Jalaram Hospital,+91-265-2561563,"  C - 26, Swami Premdasnagar, Behind Rto, Harni - Warasia Ring Road, Kishanwadi, Vadodara-390006",Hospitals     also listed in,mumbai,maharashtra
Aditya Hospital,,"  2nd Floor, Innova House, Dandia Bazar, Vadodara-390001",Doctors - Dental Surgeons/Dentists     also listed in,mumbai,maharashtra
Soni Hospital,+912664242387,"  Dr Mukesh K Soni,Vaghva Road,Pavi-Jetpur,Pavi Jetpur, Bajwa-391155",Hospitals,mumbai,maharashtra
Dr Shailesh Talati Hospital,+91-265-2644889,"  6-7, Chadrakala Tower, N H No 8, Manjalpur, Vadodara-390004",Hospitals,mumbai,maharashtra
Anuja Surgical Hospital,+91-265-2782121,"  9/10,Firdaus,Char Rasta Building,Near Fatehgunj Petrol Pump,Next To Udp Hotel,Fatehgunj, Vadodara-390002",Hospitals     also listed in,mumbai,maharashtra
Aum Medical Nursing Home & I C C U,+91-265-2522512,"  1st Floor, Shakuntal Complex, Kaladarshan, Waghodia Road, Near Nalanda Water Tank, Vadodara-390019",Hospitals,mumbai,maharashtra
Dr Surekha Vinod,+91-265-2390309,"  A 2/115, Vallabhpark, Atmajyoti Ashram Road, Opposite Hariom Nagar, Raopura, Vadodara-390023",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Dr Munshis Hospital,+91-265-2423663,"  Girdhar Niwas, Near Bank Of India Raopura, Baroda, Vadodara-390001",Hospitals,mumbai,maharashtra
Anand Hospital,+91-265-2370007,"  Ff - 151/152, Gangotri Complex, Opposite Yash Complex, Gotri Road, Gotri, Near Pramukh Traders, Vadodara-390021",Hospitals,mumbai,maharashtra
Siddhi Surgical Hospital,+919825075742,"  Anandvan Plaza,Bhaukale Gali,Raopura,Opp Vasant Panmandir, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Desai Urological & Maternity Hospital,+91-265-2780878,"  2nd & 3rd Floor,Abhinav Complex,Kamal Kunj Society,Delux,Nizampura, Vadodara-390002",Doctors - Urologists     also listed in,mumbai,maharashtra
Bina Hospital Private Limited,+91-265-2340231,"  11/B, Circuit House Bina Clinic, Sampatrao Colony, Vadodara-390007",Hospitals - Eye Care     also listed in,mumbai,maharashtra
Sagar Hospital,+91-265-2353553,"  1st Floor, Professional Plaza, 17, Punit Nagar Society, Near Malhar Point, Opposite Welcome Compelx, Dinesh Mill Road, Vadodara-390002",Hospitals     also listed in,mumbai,maharashtra
Sanjivani Hospital & Laparoscopy Centre,+919825323646,"  101, Ujwal Complex, Beside Akota Stadium, Opposite Shrenik Park, Bpc Road, Akota, Vadodara-390015",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Gayatrikrupa Hospital,+91-265-2398483,"  A/2, Sheetal Apartment, Oppsite Panchratna Apartment, Subhanpura Road, Subhanpura, Near Satguru Toys, Vadodara-390023",Hospitals,mumbai,maharashtra
Amruta Hospital,+91-265-2310624,"  227, Gajanan Complex, Opp Tube Co , O P Road, Vadodara-390020",Hospitals,mumbai,maharashtra
T B Hospital,+91-265-2398108,"  Gotri Road, Vadodara-390021",Hospitals     also listed in,mumbai,maharashtra
Shree Vijay Vallabh Sarvajanik Hospital,+912652560244,"  Shree Vijay Vallabh Marg,Chhipwad,Raopura, Vadodara-390006",Hospitals,mumbai,maharashtra
Shrinathji Hospital & Icu,+91-265-2512678,"  22 Uday Nagar Society, Opp Indrapuri Atithi Gruh, Vadodara-390019",Hospitals,mumbai,maharashtra
Pushti Multispeciality Hospital,+912652564000,"  Opposite Of Malanda Water Tank,Waghodia Road,Vadodara, Vadodara-390019",Hospitals,mumbai,maharashtra
Omkar Hospital,+919825031068,"  Amit Complex, Subhanpura-gorwa Rd, Ellora Park, Opp Pancharatna Apts, Vadodara-390007",Doctors - Plastic Surgeon / Cosmetic Surgeon     also listed in,mumbai,maharashtra
Desai Dr Jitendra,+91-265-2435153,"  Kharivav Road,Near Gpo, Vadodara-390001",Doctors - Gastroenterologist and Surgeons     also listed in,mumbai,maharashtra
I D Hospital,+91-265-2460800,"  6,Srp Grp I Officers Qtrs,Lalbaug Kashi Vishwanath, Vadodara-390000",Hospitals,mumbai,maharashtra
Navkar Hospital,+91-265-2750550,"  G F Skylab Apartments, Nizampura, Opp Deluxe Bus Stand, Vadodara-390002",Nursing Homes     also listed in,mumbai,maharashtra
Radhakrishna Hospitality Service Limited,+919898039986,"  No 32, Sushil Society, Behind Akota Garden, Akota, Vadodara-390020",Housekeeping Products and Services     also listed in,mumbai,maharashtra
Gunjan Hospital And Icu Unit,+91-265-2776849,"  B-27/349, A/F2 Indra Prasth Complex, Opp Swaminarayan Nagar, Nizampura, Vadodara-390002",Hospitals,mumbai,maharashtra
Sant Hospital,+91-265-2424901,"  3rdflr,Sagrika Chambers,Char Rasta,Dondia Bazar,Near Sainath Tower, Vadodara-390001",Doctors - Gastroenterologist and Surgeons     also listed in,mumbai,maharashtra
Gayatri Maternity Hospital (Only For Apollo Tyre),+912652517123,"  101,Nandnandan Complex,Opposite Prabhat Bus Stop,Waghodia Road, Vadodara-390019",Hospitals,mumbai,maharashtra
Shreenath Hospital,+91-265-3295055,"  Utang Building, New Ipcl Road, Subhanpura, Vadodara-390023",Hospitals,mumbai,maharashtra
Patel Dr Pankaj R,+91-265-2412836,"  Sagar Hospital,Dandia Bazar,B/H Fire Brigade Station, Vadodara-390001",Doctors - Urologists     also listed in,mumbai,maharashtra
Ayushya Hospital,+919374077038,"  Dorado Complex,Reliance Circle,Manjalpur,Opp Shreyas School, Vadodara-390011",Hospitals     also listed in,mumbai,maharashtra
Vedanta Superspeciality Hospital,+91-265-6596333,"  Gf - 18, Shreeji Chambers, 3/4 Sampatrao Colony, Near Jetlpur Over Bridge, Jetalpur Road, Alkapuri, Vadodara-390007",Hospitals,mumbai,maharashtra
Tejas Hospital,+919825892108,"  19/A,Puroshottam Nagar,Harni,Warasia Road,Behind Zaver Nagar, Vadodara-390002",Doctors - General Practitioners     also listed in,mumbai,maharashtra
Kothari Hospital,+919409280938,"  Goldest Complex, Vasna Road, Diwalipura, Near Shiv Medicine, Near Property Point, Vadodara-390015",Hospitals,mumbai,maharashtra
Dr Jitendra .C. Gandhi,+912652421963,"  Near Maharani High School,Raoupura Vadodara, Vadodara-390001",Hospitals,mumbai,maharashtra
Arpan Surgical Hospital,+912652782483,"  No 127,Arpan Complex,Near Hanumanji Temple,Delux Cross Road,Nizampura, Vadodara-390002",Hospitals,mumbai,maharashtra
Kavya Womens Care Hospital,+91-265-2487280,"  103, Shripad Apartment, Opposite Bright School, Vip Road, Kareli Baug, Vadodara-390018",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Shree Vraj Hospital & Icu,+91-265-2662066,"  104,1St Floor,Manivilla Complex,Opp Ramesh Patel Estate,Vraj Dham Templep,Manjalpur, Vadodara-390011",Hospitals     also listed in,mumbai,maharashtra
Amit Orthopedic Hopsital,+919824455237,"  E 13, Natasha Park - 1, Opposite Military Boys Hostel, Nizampura Main Road, Near Chhani Jakat Naka, Nizampura Main Road, Chhani, Vadodara-390002",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Shreeji Hospital,+91-265-2484746,"  Shop No 6, Arundeep Society, Opposite Indrapuri Imaging Centre, Near Sangam Char Rasta & Jain Temple, Vijay Nagar, Kareli, Vadodara-390006",Doctors - Dental Surgeons/Dentists     also listed in,mumbai,maharashtra
Sant Hospital,+91-265-2424901,"  Sainath Tower,Kharivav,Kharivav Road,Raopura, Vadodara-390001",Hospitals     also listed in,mumbai,maharashtra
Amit Modi,+91-265-2483911,"  Narsinhdham Complex,Sc Road ; Harni Road Ameedeep Orthopedic, Vadodara-390022",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Astha Children Hospital,+91-265-2254114,"  Vasna-Gotri (Makrand Desai ) Road, Vadodara-390015",Hospitals     also listed in,mumbai,maharashtra
Janani Hospital,+91-265-6564666,"  1st Floor,Pandav Complex,Refinery Road,Bajwa,Opp Vakal Vidyalay \, Vadodara-391310",24 Hrs - Hospital Opds     also listed in,mumbai,maharashtra
Patel Dr Pankaj R,+91-265-2412836,"  Sagar Hospital,Dandia Bazar,B/H Fire Brigade Station, Vadodara-390001",Doctors - Urologists     also listed in,mumbai,maharashtra
Ayush Children Hospital,+91-265-2495187,"  Kalind Complex,Aminagar Circle,Vip Road, Vadodara-390018",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Shree Sayaji General Hospital,+91-265-2424848,"  Jail Road, Vadodara-390001",Artificial Limbs     also listed in,mumbai,maharashtra
Shreeji Hospital,+91-265-2484746,"  Shop No 6, Arundeep Society, Opposite Indrapuri Imaging Centre, Near Sangam Char Rasta & Jain Temple, Vijay Nagar, Kareli, Vadodara-390006",Doctors - Dental Surgeons/Dentists     also listed in,mumbai,maharashtra
I D Hospital,+91-265-2465739,"  Near Sadhana Nagar,Kareli Baug, Vadodara-390018",Hospitals,mumbai,maharashtra
Om Hospital,+919825165045,"  Jaljyot Apartment, New Sama Road, Nizampura, Vadodara-390002",Doctors - Chest Specialists     also listed in,mumbai,maharashtra
Anshu Clinical Lab,+91-265-2780820,"  15, Jay Complex, Nizampura Main Road,Opp Anand Hospital, Nizampura, Vadodara-390002",Doctors - Pathologists     also listed in,mumbai,maharashtra
Matru Hospital,+917922772722,"  Matruchaya Maternity Home, Vadodara-390007",Hospitals,mumbai,maharashtra
Manav Hospital,+91-265-2531717,"  B-9/10,Krishna Leela Society,New Megaly Park Society,Warasia Ring Road, Vadodara-390006",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Astha Children Hospital,+91-265-2254114,"  Vasna-Gotri (Makrand Desai ) Road, Vadodara-390015",Hospitals     also listed in,mumbai,maharashtra
Krishnashray Hospital & Icu,+91-265-2412600,"  Sanstha Vasahat, Raopura, Vadodara-390001",Hospitals,mumbai,maharashtra
Yash Hospital,+912662226080,"  A / 8 ,Narayan Nagar Society ,Behind New Bus Depo, Padra-391440",Hospitals,mumbai,maharashtra
Amit Modi,+91-265-2483911,"  Narsinhdham Complex,Sc Road ; Harni Road Ameedeep Orthopedic, Vadodara-390022",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Dev Hospital,+91-265-2365650,"  S-9 To 15,Dev Commercial Centre,Gotri Road,Nr Natubhai Centre, Vadodara-390000",Doctors - Cardiologists (Heart)     also listed in,mumbai,maharashtra
Om Prasutigrah,+91-265-3288793,"  A-11,Varaj Venu Complex,Swami Narayan Gurukul Char Rasta,Nr Narayan Vidhyalay, Vadodara-390019",Hospitals,mumbai,maharashtra
Dr Raman Handa Eye Hospital,+912652644466,"  B-5,Yogeshwar Park Society,Markapura Road, Vadodara-390009",Hospitals,mumbai,maharashtra
Nimish Hospital,+91-265-2397325,"  Gangavinder Society,Gotri Main Road, Vadodara-390021",Hospitals,mumbai,maharashtra
Deep Intensive & Critical Care Center,+91-265-2429127,"  Behind Maharani School;,Near Sursagar Lake, Vadodara-390001",Hospitals,mumbai,maharashtra
Samir Hospital,+91-265-2432205,"  Lakdipool, Babajipura Road, Dandia Bazar, Near Bharat Electricals, Near Deep Woeld, Vadodara-390001",Hospitals,mumbai,maharashtra
Vardhman Ent Hospital,+91-265-2572238,"  272,Ajitnagar Society,G E B School Road,Akota, Vadodara-390020","Doctors - Ear, Nose and Throat (ENT)     also listed in",mumbai,maharashtra
Merchant Dr G V & Associates,+91-265-2341766,"  409-412,Sybachya Hospital,Srinagar Society,Shivanand Mark,Akota,Nr Urmi Society, Vadodara-390020",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Padma Maternity Fertility & Sonography Hospital,+91-265-2637422,"  Samrudhhi Resi Cum Plaza Beside,Makarpura,Bus Depor, Vadodara-390010",Hospitals     also listed in,mumbai,maharashtra
Jeevan Jyoti Hospital,+91-265-2292152,"  602,Sahyadri, R C Road,Near Gorwa, Vadodara-390005",Doctors - Dental Surgeons/Dentists     also listed in,mumbai,maharashtra
Ayush Children Hospital,+91-265-2495187,"  Kalind Complex,Aminagar Circle,Vip Road, Vadodara-390018",Doctors - Paediatricians (Child)     also listed in,mumbai,maharashtra
Motal Sargical Hospital & Adoskopi Centre,+91-265-2324991,"  13-B,Sangita Apartment,Nandvan,Opp:Akota Stadim, Vadodara-390020",Hospitals     also listed in,mumbai,maharashtra
Dr Dandekar Eye Clinic And Surgery Centre,+91-265-2428293,"  Nea Manukrao Akhada , Vadodara-390001",Hospitals,mumbai,maharashtra
Samdeep Children Hospital,+91-265-2570421,"  Chaturbhai Park,Harni - Warasia Ring Road, Vadodara-390006",Hospitals     also listed in,mumbai,maharashtra
Dhiraj General Hospital,+91245264,"  Piparia, Tal- Waghodia, Vadodara-391760",Hospitals,mumbai,maharashtra
Dhanvantri E N T Hospital,+919824299422,"  2nd Floor, Nivedanam Complex, Soma Talaw Cross Road, Dabhoi Ring Road , Vadodara-390009",Hospitals,mumbai,maharashtra
Jamnabai Hospital Baroda,+91-265-2781003,"  1 - Raghukul, Sama Road, Amar Town House Amar Complex, Behind Navrachna School, Fatehgunj, Vadodara-390008",Hospitals,mumbai,maharashtra
Shree Maruti Surgical & Trauma Hospital,+91-265-2428026,"  Chittekhan Wadi, Raopura Main Road, Vadodara-390001",Hospitals,mumbai,maharashtra
Shubh Hospital,+919727767712,"  Goldest Complex, Vasna Road, Diwalipura, Near Shiv Medicine, Near Property Point, Vadodara-390015",Hospitals,mumbai,maharashtra
Shubham Hospital,+91-265-2387999,"  C T Complex,Subhanpura,Golden Silver Apartment,Above Annonya Bank, Vadodara-390023",Doctors - Surgeons     also listed in,mumbai,maharashtra
Aziz Hospital,+91-265-2561342,"  207,New Heaven Enclave,Panigate,Near Panigate Petrolpump, Vadodara-390019",Doctors - Consulting Physicians     also listed in,mumbai,maharashtra
Satyam Hospital,+919825685110,"  N H 8, Opposite Geb Sub Station, Chhani Road, Chhani, Near Shree Dudhalesvar Mahadev, Vadodara-391740",Hospitals,mumbai,maharashtra
Our Lady Pilar Hospital,+91-265-2795484,"  Fatehgunj Post Office 24,Fatehgunj, Vadodara-390002",Hospitals     also listed in,mumbai,maharashtra
Bhailal Amin General Hospital,+91-265-2285555,"  Gorwa Bhailal, Amin Marg, Vadodara-390003",Hospitals,mumbai,maharashtra
Dr Himanshu B Patel/Devdeep Hospital/Meridian Hospital,+91-265-2386667,"  Spring Field Complex, Near Harinagar Bus Stand, Vadodara-390007",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Sahyog Hospital,+91-265-2240201,"  Opposite Sahyog Society, Refinery Road, Gorwa, Near Valaji Provision Stote, Vadodara-390016",Doctors - Plastic Surgeon / Cosmetic Surgeon     also listed in,mumbai,maharashtra
Krishna Nursing Home,+91-265-2776330,"  4-D,Tashkand Society,Nizampura,Near Deluxe Bus Stop, Vadodara-390002",Hospitals     also listed in,mumbai,maharashtra
Sannidhi Super Speciality Orthopaedic Hospital,+912656543222,"  Beside Dewashish Appartment,Waghodia-Dabhoi Ring Road,Parivar Char Rasta, Vadodara-390021",Hospitals,mumbai,maharashtra
Cresoent Enterprise,+919824063055,"  202,Campus Corner,Next To Parsik Society,Makarpura Main Road, Vadodara-390009",Filters and Filtration Equipments and Supplies     also listed in,mumbai,maharashtra
Swami Premdas Jalaram Hospital,+91-265-2570088,"  C - 26, Warasia Ring Road, Premdas Nagar, Kishanwadi, Vadodara-390006",Hospitals,mumbai,maharashtra
Gupta Hospital,+91-265-2649602,"  1st Floor, 5-201, 5-202, Kabir Shopping Centre, Kabir Complex, Makarpura Road , Vadodara-390009",Hospitals,mumbai,maharashtra
Ent Hospital,+91-265-2320505,"  23, Sampatrao Colony, R C Ditta Road, Alkapuri, Vadodara-390007",Hospitals     also listed in,mumbai,maharashtra
Uro Care Hospital Vadodara,+91-253-2325903,"  Gadapura Road,Near Utkarsh Vidhyalaya,Near Utkarsh Vidyalaya,Behind Vaccine I,Off Old Padra Road, Vadodara-390020",Hospitals,mumbai,maharashtra
Om Hospital And Pathology Lab,+919825165045,"  Ff 18, Jaljyot Apartments, Nizampura, Opp Nizampurabus Depo, Vadodara-390002",Doctors - Chest Specialists     also listed in,mumbai,maharashtra
Devpushp Maternity & Leproscopy Hospital,+919825043440,"  Iety,Devpushp Complex,Tulsidham Cross Road,Manjalpur, Vadodara-390011",Doctors - Gynaecologists and Obstetricians     also listed in,mumbai,maharashtra
Shirali Eye Care Hospital,+91-265-2411823,"  Near Khushalchand Kanya Vidyalay, Opp Sursagar, Vadodara-390001",Hospitals,mumbai,maharashtra
Sachi Hospital,+91-265-2466171,"  First Floor,Rbg Complex,Near Jalaram Temple,Opp Bahucharaji Temple,Kareli Baug, Vadodara-390018",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
Eye Clinic & Retinal Laser Centre,+91-265-2420369,"  Mahajan Lane,Raopura, Vadodara-390001",Doctors - Eye (Ophthalmologists)     also listed in,mumbai,maharashtra
Anjali Memorial Hospital,+919825008220,"  Biren Apartment,Fatehgunj, Vadodara-390002",Doctors - Orthopaedics (limbs)     also listed in,mumbai,maharashtra
